Date,ZAMT,ZAFN,ZACD,ZAIND,ZATC,ZACS
2000/06/01,33.1594,19.1142,26.3568,21.9176,67.2932,15.9864
2000/06/02,34.1265,19.6015,26.8846,22.1634,69.5237,16.0555
2000/06/05,34.5184,19.5926,26.8558,22.5549,69.9569,16.094
2000/06/06,35.0621,19.7753,27.1254,22.4692,68.7761,16.3905
2000/06/07,35.0701,19.9237,27.1345,22.3326,67.6806,16.6035
2000/06/08,34.6411,19.6472,26.8001,22.0854,68.0437,16.8229
2000/06/09,35.1383,19.8586,27.0961,22.7349,67.2875,17.2347
2000/06/12,35.4346,20.0698,27.4555,22.683,65.9979,17.3857
2000/06/13,35.1465,19.9321,27.2567,22.7448,64.8728,17.5888
2000/06/14,35.1491,20.1392,27.3142,23.0529,65.9925,17.7751
2000/06/15,34.2729,20.186,27.4534,23.7776,63.5739,17.9706
2000/06/16,34.6356,20.3997,27.7439,24.0292,64.2467,18.1608
2000/06/19,34.8437,19.9692,28.0027,25.1489,65.2567,18.1748
2000/06/20,34.5803,20.069,27.8852,24.5441,66.0471,18.017
2000/06/21,34.4262,19.7416,27.622,24.064,64.7942,17.7366
2000/06/22,34.1507,19.5533,27.5533,23.8247,64.5183,17.6705
2000/06/23,34.465,19.4732,27.7828,24.0382,64.9991,17.6953
2000/06/26,34.7668,19.645,27.8347,24.5506,65.2928,17.9617
2000/06/27,35.1163,19.8254,28.2294,24.9508,64.514,18.1355
2000/06/28,35.5036,19.7826,27.9518,24.4431,62.9319,18.0769
2000/06/29,35.3118,19.6784,27.5573,24.3417,63.6601,17.6441
2000/06/30,35.4553,19.9997,28.1262,24.5141,63.4006,17.9175
2000/07/03,35.1625,19.8905,27.8611,24.7833,61.7879,18.0366
2000/07/04,35.5967,20.0764,28.7176,25.174,62.5885,18.0302
2000/07/05,35.0244,20.2485,28.9785,25.7117,63.8257,18.0086
2000/07/06,34.9452,19.8824,28.1285,24.7516,62.5607,17.8384
2000/07/07,34.6231,19.805,27.7407,24.3522,62.3096,17.8029
2000/07/10,35.2888,19.7366,27.9994,24.9734,63.3809,18.0621
2000/07/11,35.5072,19.6148,27.7192,24.7459,63.8026,17.9074
2000/07/12,36.3476,19.8443,28.0899,25.1524,63.6479,17.8716
2000/07/13,36.6588,19.9896,28.2602,24.9472,64.4564,17.6225
2000/07/14,37.4452,20.0607,28.3353,24.9136,64.2522,17.6449
2000/07/17,37.3378,20.0031,28.3759,24.604,63.6278,17.3433
2000/07/18,37.0784,19.819,28.0554,24.4662,63.5003,17.3005
2000/07/19,36.7774,19.8227,27.9288,24.2519,62.9266,17.136
2000/07/20,36.1206,19.8564,28.0738,24.5611,64.1774,17.3384
2000/07/21,36.1054,19.9061,28.4146,25.013,63.993,17.3739
2000/07/24,36.0455,19.7058,27.9725,28.8226,63.9051,17.2148
2000/07/25,35.9053,19.5328,27.8025,29.0296,60.5457,17.0743
2000/07/26,35.8919,19.665,27.7936,28.0173,60.2196,17.2821
2000/07/27,35.6589,19.647,27.8888,28.2743,60.0905,17.5028
2000/07/28,35.4746,19.4248,27.3625,28.2437,59.9747,17.3092
2000/07/31,35.0028,19.5121,27.3448,28.5853,58.8491,17.4152
2000/08/01,35.3682,19.5517,27.1792,28.719,58.7748,17.3174
2000/08/02,36.4215,19.6404,27.085,28.9988,58.2104,17.2673
2000/08/03,36.1548,19.5878,27.0127,28.8808,57.7354,17.3054
2000/08/04,36.333,19.7157,27.5201,28.6384,59.4764,17.4521
2000/08/07,36.1469,19.7578,27.8857,28.988,59.9418,17.6711
2000/08/08,36.4894,19.6595,27.8515,29.177,60.2637,17.6589
2000/08/09,36.4283,19.6266,27.8049,29.1282,60.1629,17.6293
2000/08/10,37.793,20.01,28.1059,29.7981,63.1257,17.7606
2000/08/11,38.2847,20.2234,28.4199,29.6938,64.0111,17.7951
2000/08/14,38.8513,20.4987,28.6869,30.2598,64.1858,17.8772
2000/08/15,38.7811,20.2867,28.6913,30.9834,62.3087,17.7993
2000/08/16,39.5299,20.4603,28.6051,30.6963,62.0915,17.7916
2000/08/17,39.4643,20.3568,28.5029,29.7622,61.3331,17.6226
2000/08/18,39.1771,20.3184,28.3504,29.6385,60.8657,17.4353
2000/08/21,39.5097,20.5108,28.8037,30.2866,60.8657,17.6273
2000/08/22,40.1561,20.4871,28.778,31.2112,60.102,17.6839
2000/08/23,40.4859,20.4881,28.4718,31.4551,58.4941,17.7023
2000/08/24,40.126,20.7047,28.7688,31.8692,59.4782,17.7531
2000/08/25,40.025,20.769,29.1482,32.4962,59.6582,17.7928
2000/08/28,39.9077,20.7285,29.2289,31.9255,59.4559,17.7485
2000/08/29,40.5649,20.7299,29.403,31.3098,58.1953,17.7999
2000/08/30,40.8711,20.6093,29.1188,31.1769,56.0385,17.8571
2000/08/31,41.1424,20.7947,29.6151,30.9258,56.2675,18.1629
2000/09/01,41.6647,20.9636,29.4019,31.5708,59.4002,18.2174
2000/09/04,42.1205,21.0841,29.5509,31.523,61.1273,18.2521
2000/09/05,41.1106,20.6981,28.9292,30.9914,60.0229,18.0682
2000/09/06,40.8334,20.3824,28.6442,30.5598,59.2059,18.2041
2000/09/07,40.8402,20.1707,28.4795,30.6236,58.6102,18.0522
2000/09/08,41.2239,20.0376,28.2229,30.6516,57.6492,17.7614
2000/09/11,41.2489,19.763,27.9898,30.2464,58.3419,17.7342
