Date,brz,chl,chn,col,cze,egt,grc,hun,ind,ino,kor,mal,mex,per,phi,pol,rus,zar,twn,tha,tur
2000/01/14,1420.246,NA,36.736,104.815,91.699,352.187,1215.404,369.46,175.426,279.517,192.247,283.687,2376.753,216.904,296.515,654.787,256.096,257.083,423.277,183.656,1048.241
2000/01/21,1382.369,NA,36.105,101.874,98.323,375.301,1176.509,379.475,179.499,260.795,186.361,290.799,2215.706,214.548,288.455,638.017,249.351,254.323,433.366,191.68,956.893
2000/01/28,1343.787,NA,36.044,103.903,97.088,354.007,1125.305,379.47,187.168,246.394,191.316,285.908,2105.634,215.845,278.506,609.292,222.911,228.605,456.255,184.508,1001.851
2000/02/04,1426.445,1522.083,35.473,105.367,103.959,349.35,1202.189,369.573,197.677,239.203,189.026,293.134,2344.495,230.226,282.59,647.296,216.121,237.656,460.339,183.091,922.73
2000/02/11,1416.334,1544.009,31.841,104.148,113.985,359.001,1257.476,396.02,219.559,249.049,188.217,307.537,2465.404,246.062,273.661,657.163,224.861,239.324,474.487,179.795,852.53
2000/02/18,1371.733,1443.274,33.204,97.663,113.729,349.521,1209.314,401.96,243.065,231.446,171.957,310.609,2362.585,232.172,261.627,684.849,214.751,235.056,466.08,153.521,840.31
2000/02/25,1384.906,1379.546,29.72,90.273,111.915,322.177,1195.086,405.084,222.215,218.765,168.297,306.716,2343.832,234.99,249.575,723.44,209.155,228.013,435.832,154.731,852.801
2000/03/03,1439.232,1456.08,28.471,88.155,117.224,326.698,1163.693,401.09,216.523,207.658,177.063,289.62,2615.456,240.95,241.834,692.919,232.994,214.877,444.528,147.817,893.302
2000/03/10,1423.904,1420.994,29.766,88.352,116.729,326.832,1111.38,425.199,211.157,233.967,173.9,289.709,2637.453,236.471,233.848,709.743,275.989,220.878,432.908,158.08,946.432
2000/03/17,1382.747,1419.438,29.887,87.861,118.439,328.357,1098.906,399.281,188.664,229.686,169.308,285.255,2558.187,224.453,237.312,716.207,266.632,219.025,409.228,154.947,947.218
2000/03/24,1459.491,1421.269,29.371,84.153,123.486,322.93,1066.14,404.472,194.526,222.86,184.384,297.36,2614.85,222.532,239.001,725.298,297.628,224.132,435.347,154.375,922.891
2000/03/31,1425.961,1405.089,30.29,87.418,111.428,326.045,1071.473,389.251,193.855,220.694,182.82,298.183,2416.063,210.685,235.202,677.024,283.979,211.919,455.163,155.922,813.448
2000/04/07,1412.521,1398.166,30.153,86.914,112.009,323.753,1104.274,383.982,196.02,215.022,182.679,289.356,2454.058,212.735,245.024,669.977,267.241,208.911,451.673,156.25,871.949
2000/04/14,1188.253,1324.67,31.529,84.084,105.829,307.97,1000.376,352.024,189.914,211.96,173.942,283.257,2062.125,204.904,236.911,637.102,265.253,187.216,423.079,162.085,981.7
2000/04/21,1206.486,1333.871,33.292,83.693,96.776,276.683,965.844,335.947,170.911,189.072,167.973,272.743,2077.342,203.559,231.753,569.307,259.614,187.71,408.694,150.661,915.227
2000/04/28,1239.555,1305.475,33.149,81.602,99.235,291.705,900.991,317.676,163.497,192.486,161.889,275.116,2150.746,200.706,217.871,572.058,279.268,192.642,403.107,146.45,1015.36
2000/05/05,1222.153,1298.223,33.53,77.553,95.788,290.591,923.626,319.368,163.95,197.284,166.102,284.263,2097.722,198.93,213.783,546.329,277.524,184.562,399.887,143.054,951.883
2000/05/12,1156.956,1343.492,33.674,72.802,94.857,299.577,965.269,315.064,140.642,177.927,162.608,279.498,2025.414,194.357,210.044,578.969,270.59,185.328,391.363,122.06,935.437
2000/05/19,1152.529,1366.228,36.156,71.731,91.904,305.607,999.088,280.171,136.977,169.21,163.439,293.663,1881.541,181.858,198.409,561.093,231.9,176.87,418.349,121.482,882.097
2000/05/26,1173.341,1312.4,32.76,67.997,95.441,285.466,991.786,313.266,134.252,156.756,143.162,272.374,1836.774,175.187,188.668,521.977,230.391,176.825,391.489,108.457,865.601
2000/06/02,1325.743,1357.145,35.781,65.482,101.125,294.322,998.554,348.963,145.825,141.488,168.38,276.419,2150.618,191.237,199.354,590.268,257.549,192.454,409.034,125.322,906.651
2000/06/09,1342.313,1322.246,37.642,62.744,98.095,284.761,989.582,348.016,155.062,150.891,184.015,265.342,1989.214,190.678,201.413,576.11,250.976,196.237,415.168,124.792,896.931
2000/06/16,1345.322,1296.133,37.772,61.416,93.901,276.733,986.785,338.374,159.573,154.355,167.687,256.821,2018.509,186.447,206.47,571.435,245.096,198.736,403.786,126.429,773.197
2000/06/23,1372.268,1267.825,37.151,60.867,88.294,254.378,915.744,320.676,157.797,157.484,172.079,249.114,1980.358,180.192,201.944,565.229,231.82,194.825,397.044,123.53,800.302
2000/06/30,1369.251,1283.983,38.249,60.28,90.925,254.573,924.956,316.948,158.72,158.13,181.9,253.93,2174.039,187.538,198.386,577.608,218.003,198.855,382.417,120.424,778.692
2000/07/07,1434.969,1291.305,39.485,60.211,86.821,262.675,883.912,308.811,163.499,147.079,184.833,249.707,2342.801,188.759,197.292,572.818,235.392,195.336,378.152,117.292,766.831
2000/07/14,1379.071,1272.615,40.76,64.575,94.112,257.677,893.165,297.337,160.926,143.198,183.744,261.037,2412.207,183.939,191.812,577.898,235.816,201.619,392.179,112.275,713.455
2000/07/21,1420.777,1277.201,41.498,66.743,97.265,241.798,900.104,313.665,147.586,155.652,173.784,252.59,2206.577,180.306,181.407,601.725,239.676,200.733,372.595,105.553,706.104
2000/07/28,1346.33,1231.782,38.163,68.915,98.087,222.921,887.845,301.019,142.511,150.462,149.589,242.256,2082.294,178.644,172.234,557.334,239.474,195.673,373.525,97.879,739.58
